,title,id
0,اباذر,24
1,آزاد شهر,46
2,اتابک,44
3,آشتیانی,43
4,آرژانتین,42
5,آرارات,41
6,امیریه,38
7,امیر آباد,37
8,امین حضور,36
9,المهدی,35
10,آجودانیه,33
11,سی متری جی,23
12,عبدل آباد,27
13,عباس آباد,25
14,اقدسیه,31
15,افسریه,30
16,عباسی,26
17,آبشار,29
18,آهنگ,32
19,علی آباد,34
20,آپادانا,40
21,آزادی,47
22,ابوذر,28
25,چهارصد دستگاه,63
26,قیطریه,107
27,حکیمیه,118
28,بلوار فردوس,98
29,فاطمی,97
30,حافظ,115
31,هاشم آباد,119
32,جوانمرد قصاب,130
33,جوادیه منطقه4,129
34,جوادیه,128
35,جماران,127
36,ایران,125
37,حشمتیه,123
38,حصارک,122
39,حکمت,121
40,هفت تیر,116
41,خیابان گرگان,114
42,گمرک,113
43,قلهک,111
44,قبا,110
45,قیام,109
46,قزل قلعه,108
47,قصر,105
48,قنبرزاده,104
49,قنات کوثر,103
50,قلعه مرغی,102
51,فرشته,100
52,فردوسی,99
53,فرحزاد,95
54,فلاح,94
55,استخر,92
56,اسکندری,90
57,عشرت آباد,89
58,امامزاده حسن(ع),88
59,امام زاده قاسم,87
60,امامت,85
61,دوراهی قپان,79
62,جی,131
63,دولت اباد,77
64,دزاشیب,76
65,دهقان,74
66,بلوار-دریا,73
67,دروس,72
68,دربند,70
69,درکه,69
70,دارآباد,68
71,دبستان,66
72,چیذر,65
73,بیسیم,59
74,بریانک,58
75,بهجت آباد,57
76,بازار,56
77,باشگاه نفت,55
78,بهارستان,54
79,بهار,53
80,باغ صبا,51
81,باغ آذری,50
82,آذری,49
83,آذربایجان,48
84,دهکده المپیک,75
85,رستم آباد و اختیاریه,82
86,چیتگر,64
87,هاشمی,120
88,هفت چنار,117
89,امامزاده عبداله,86
90,دوشان تپه,80
91,نارمک,171
92,مسعودیه,157
93,مینا,161
94,مطهری,168
95,سازمان آب,211
96,خلیج فارس,140
97,سر آسیاب دولاب,209
98,مینی سیتی,162
99,صفا,205
100,شاه عبدالعظیم,216
101,شادآباد,215
102,سید خندان,214
103,سازمان برنامه جنوبی,213
104,سازمان برنامه شمالی,212
105,میرداماد,163
106,سعادت آباد,200
107,سلماس,207
108,ساعی,204
109,ستارخان,210
110,صد دستگاه,202
111,پیروزی,194
112,خیابان ری,198
114,پلیس,195
115,پاسدارگمنام,192
116,ازگل,189
117,استادمعین,188
118,اوقاف,187
119,نصرت,186
120,وردآورد شمالی,185
121,کارگر شمالی,180
122,نوبنیاد,178
123,نظام آباد,175
124,نعمت آباد,174
125,نازی آباد,173
126,نبرد,169
127,کوهک,145
128,مشیریه,167
129,منیریه,166
130,مولوی,165
131,مبارک آباد,164
132,مهران,160
133,مخصوص,154
134,سنایی,208
135,مقداد,158
136,محمودیه,152
137,مدائن,151
138,لاله زار,149
139,کوی ارم,148
140,کوی بیمه,147
141,کوی-فراز,146
142,کیانشهر,144
143,خاوران,142
144,خاک سفید,139
145,خواجه عبدالله,138
146,بلوار کشاورز,137
147,کاشانک,135
148,کن,134
149,جمهوری,132
150,خزانه,143
152,شهرک والفجر,235
153,ونک,266
154,شهرک هما,230
155,شهرک غرب,241
156,جنت آباد جنوبی,251
157,شهران,238
158,تهران نو,256
159,زینبیه,284
160,زهتابی,283
161,زرتشت,282
162,ضرابخانه,281
163,زرگنده,280
164,زمزم,279
165,زعفرانیه,278
166,لواسان,373
167,وردآورد جنوبی,252
168,وزراء,271
169,ویلاشهر,270
170,وصفنارد,268
171,وحیدیه,265
172,وحدت اسلامی,264
173,تولید دارو,263
174,تجریش,262
175,تیموری,261
176,طیب,260
177,توانیر,255
178,طرشت,254
179,تختی,253
180,سمیه,249
181,سوهانک,248
182,شکوفه,246
183,شهدا,245
184,شیخ هادی,244
185,شهرآرا,239
186,شهرک اکباتان,237
187,شهرک ولیعصر,236
188,شهرک شهید باقری,234
189,شهرک پاسداران,232
190,شهرک استقلال,229
191,شهرک دریا,228
192,شهرک دانشگاه تهران,227
193,شهرک دانشگاه شریف,226
194,شهرک سینمایی غزالی,225
195,شهرک چشمه,224
196,شهرک بروجردی,223
197,شهرک آزادی,222
198,شهرک انصار,221
199,شهر ری,218
200,شاهین,217
201,یافت آباد,273
203,سلسبیل(رودکی),682
209,نواب,684
213,جیحون,678
214,کارون,679
217,زیبادشت - تهران,1475
218,خیام - تهران,1477
219,جهان کودک - تهران,1479
220,هزارسنگ,1428
223,دریاچه خلیج فارس,674
225,شیخ بهایی,1413
226,ملاصدرا,1412
227,صاحبقرانیه,677
228,شمس آباد,242
229,سهروردی,183
230,زاهد گیلانی,1423
231,هفده شهریور,1420
233,امام حسین,1418
234,انقلاب,1416
238,یاخچی آباد و چهارصد دستگاه,275
239,تهران ویلا,259
241,شهرک محلاتی,1424
243,شوش,247
244,صالح آباد,206
246,اسکندری-شمالی,181
247,نجات اللهی,170
248,مهرآباد,159
249,یافت آباد(بازار مبل),274
250,خانی آباد,141
251,ایرانشهر,126
252,حر,124
253,قصر فیروزه,106
254,الهیه,83
255,امام خمینی,84
256,دردشت,71
257,چهاردیواری,62
258,لویزان و شیان,150
259,نارمک منطقه 4,172
260,شهرک نفت,231
261,باغ فیض,52
264,شهرک صاحب الزمان,1435
265,شهرک امام خمینی,1434
266,تهرانسر,1439
268,سازمان برنامه مرکزی,1442
269,اندرزگو,1444
270,فرمانیه,96
271,شریعتی,1440
272,هروی,1433
273,بوکان,1446
274,شهرک مسکونی چیتگر,1463
